id,number,assignment_group,assignment_group_vendor,cms_associated_service_name,cms_reporting_sector,cms_sector,cms_service_area,ip_address,cmdb_ci,ci_class,os,is_dmz,vulnerability,app_and_tech,category,software_group,summary,remediation_note,proof,last_opened,age_days,age,load_time_debt,eom_debt,ola_priority,is_critical_server,has_exploit,port,last_found,created_on,updated_on,load_datetime
,1,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.101,CI-1001,Server,iOS,Yes,CVE-2025-24200,iOS and iPadOS,Authorization,Apple,Apple iOS and iPadOS contains an incorrect authorization vulnerability that allows a physical attacker to disable USB Restricted Mode on a locked device.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://support.apple.com/en-us/122173 ; https://nvd.nist.gov/vuln/detail/CVE-2025-24200,3/5/2025,21,30,5,3,High,Yes,Unknown,443,3/5/2025,2/12/2025,2/13/2025,2/12/2025 12:00
,2,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.102,CI-1002,Server,N/A,No,CVE-2024-41710,SIP Phones,Injection,Mitel,"Mitel 6800 Series, 6900 Series, and 6900w Series SIP Phones contain an argument injection vulnerability due to insufficient parameter sanitization during the boot process.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.mitel.com/-/media/mitel/file/pdf/support/security-advisories/security-bulletin_24-0019-001-v2.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2024-41710,3/5/2025,21,30,4,2,Medium,No,Unknown,5060,3/5/2025,2/12/2025,2/13/2025,2/12/2025 12:00
,5,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.105,CI-1005,Server,Windows Server 2019,Yes,CVE-2025-21418,Windows,Buffer Overflow,Microsoft,"Microsoft Windows Ancillary Function Driver for WinSock contains a heap based buffer overflow vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-21418 ; https://nvd.nist.gov/vuln/detail/CVE-2025-21418,3/4/2025,21,30,7,4,High,Yes,Unknown,445,3/4/2025,2/11/2025,2/12/2025,2/12/2025 12:00
,6,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.106,CI-1006,Server,Windows Server 2019,No,CVE-2025-21391,Windows,Link Following,Microsoft,Microsoft Windows Storage contains a link following vulnerability that could allow for privilege escalation and data deletion.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-21391 ; https://nvd.nist.gov/vuln/detail/CVE-2025-21391,3/4/2025,21,30,4,2,Medium,No,TRUE,445,3/4/2025,2/11/2025,2/12/2025,2/12/2025 12:00
,7,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.107,CI-1007,Server,Windows Server 2016,Yes,CVE-2025-0994,Cityworks,Deserialization,Trimble,Trimble Cityworks contains a deserialization vulnerability that could allow remote code execution on an IIS web server.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://learn.assetlifecycle.trimble.com/i/1532182-cityworks-customer-communication-2025-02-05-docx/0?; https://www.cisa.gov/news-events/ics-advisories/icsa-25-037-04 ; https://nvd.nist.gov/vuln/detail/CVE-2025-0994,2/28/2025,21,30,3,2,High,Yes,Unknown,80,2/28/2025,2/7/2025,2/8/2025,2/12/2025 12:00
,8,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.108,CI-1008,Server,Sophos XG OS,No,CVE-2020-15069,XG Firewall,Buffer Overflow,Sophos,Sophos XG Firewall contains a buffer overflow vulnerability that allows for remote code execution via the 'HTTP/S bookmark' feature.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://community.sophos.com/b/security-blog/posts/advisory-buffer-overflow-vulnerability-in-user-portal ; https://nvd.nist.gov/vuln/detail/CVE-2020-15069,2/27/2025,21,30,5,3,High,Yes,Unknown,443,2/27/2025,2/6/2025,2/7/2025,2/12/2025 12:00
,9,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.109,CI-1009,Server,Linux,Yes,CVE-2020-29574,CyberoamOS,SQL Injection,Sophos,CyberoamOS (CROS) contains a SQL injection vulnerability in the WebAdmin that allows an unauthenticated attacker to execute arbitrary SQL statements remotely.,Users should discontinue utilization of the product.,https://support.sophos.com/support/s/article/KBA-000007526 ; https://nvd.nist.gov/vuln/detail/CVE-2020-29574,2/27/2025,21,30,4,2,Medium,No,Unknown,80,2/27/2025,2/6/2025,2/7/2025,2/12/2025 12:00
,10,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.110,CI-1010,Server,Windows 10,No,CVE-2024-21413,Office Outlook,Input Validation,Microsoft,Microsoft Outlook contains an improper input validation vulnerability that allows for remote code execution by bypassing the Office Protected View.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21413 ; https://nvd.nist.gov/vuln/detail/CVE-2024-21413,2/27/2025,21,30,3,2,Medium,No,TRUE,443,2/27/2025,2/6/2025,2/7/2025,2/12/2025 12:00
,11,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.111,CI-1011,Server,Linux,Yes,CVE-2022-23748,Dante Discovery,Process Control,Audinate,Dante Discovery contains a process control vulnerability in mDNSResponder.exe that allows for a DLL sideloading attack.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.getdante.com/support/faq/audinate-response-to-dante-discovery-mdnsresponder-exe-security-issue-cve-2022-23748/ ; https://nvd.nist.gov/vuln/detail/CVE-2022-23748,2/27/2025,21,30,4,3,High,Yes,Unknown,5353,2/27/2025,2/6/2025,2/7/2025,2/12/2025 12:00
,12,SecOps Team,Internal Security,Vuln Management Portal,IT Security,Enterprise,Vulnerability Management,10.0.0.112,CI-1012,Server,Windows 10,No,CVE-2025-0411,7-Zip,Bypass,7-Zip,7-Zip contains a protection mechanism failure vulnerability that allows remote attackers to bypass the Mark-of-the-Web security feature to execute arbitrary code.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,https://www.7-zip.org/history.txt ; https://nvd.nist.gov/vuln/detail/CVE-2025-0411,2/27/2025,21,30,2,1,Low,No,Unknown,80,2/27/2025,2/6/2025,2/7/2025,2/12/2025 12:00
